date,power_plant_name,sale_price_auction,lcoe_wacc,cost_of_capital,capex_current,capex_required_to_match_auction,capex_reduction_pct_required,capex_status
2021-09-30,Panorama 01,166.32,288.02503775675086,13.15986776,17681000.0,9174613.605903402,48.1103240433041,solvable_with_capex_reduction
2021-09-30,Panorama 02,166.31,288.02503775675086,13.15986776,17681000.0,9173914.67128649,48.11427706981228,solvable_with_capex_reduction
2021-09-30,Panorama 03,166.31,288.02503775675086,13.15986776,17681000.0,9173914.67128649,48.11427706981228,solvable_with_capex_reduction
2021-09-30,Panorama 04,166.31,288.02503775675086,13.15986776,17681000.0,9173914.67128649,48.11427706981228,solvable_with_capex_reduction
2021-09-30,Panorama 05,166.31,288.02503775675086,13.15986776,17681000.0,9173914.67128649,48.11427706981228,solvable_with_capex_reduction
2021-09-30,Panorama 06,166.31,288.02503775675086,13.15986776,17681000.0,9173914.67128649,48.11427706981228,solvable_with_capex_reduction
2021-09-30,Panorama 07,166.31,288.02503775675086,13.15986776,17681000.0,9173914.67128649,48.11427706981228,solvable_with_capex_reduction
2021-09-30,Panorama 08,166.31,288.02503775675086,13.15986776,17681000.0,9173914.67128649,48.11427706981228,solvable_with_capex_reduction
2022-05-27,BELMONTE 1 1,178.0,268.7080928179821,16.09593293,205316700.0,128222904.82179464,37.54872116014204,solvable_with_capex_reduction
2022-05-27,BELMONTE 1 4,178.66,403.0075422032577,16.09593293,34642500.0,13191515.532919075,61.92100589472736,solvable_with_capex_reduction
2022-05-27,BELMONTE 2 1,177.99,268.7080928179821,16.09593293,205316700.0,128214405.71297391,37.5528606718431,solvable_with_capex_reduction
2022-05-27,LUIZ GONZAGA I,178.52,281.5423664326388,16.09593293,121006810.0,71754405.44042012,40.70217581934428,solvable_with_capex_reduction
2022-05-27,LUIZ GONZAGA III,178.52,281.5423664326388,16.09593293,121006810.0,71754405.44042012,40.70217581934428,solvable_with_capex_reduction
2022-10-14,PROFESSORA HELEY DE ABREU SILVA BATISTA 1,170.7,250.93337284478633,11.39032,257597500.0,162072815.71111318,37.082923665364305,solvable_with_capex_reduction
2022-10-14,PROFESSORA HELEY DE ABREU SILVA BATISTA 2,171.95,250.93337284478633,11.39032,257597500.0,163561047.49207175,36.50518832982783,solvable_with_capex_reduction
